point,roughness
1,9.214
2,4.4931
3,6.6558
4,2.6012
5,6.1998
6,6.3618
7,1.5742
8,5.8349
9,5.0745
10,6.7402
11,9.5277
12,8.7287
13,2.0385
14,9.3677
15,5.5607
16,8.8878
17,2.0405
18,7.5116
19,2.4363
20,4.4332
21,3.8779
22,9.3476
23,1.0971
24,2.4224
25,7.4907
26,1.486
27,2.0306
28,9.4687
29,1.5133
30,9.3867
31,1.7833
32,8.2624
33,8.3743
34,9.4882
35,6.8415
36,8.7864
37,2.4805
38,4.4095
39,5.6393
40,5.3335
41,5.236
42,9.4839
43,4.3089
44,5.6473
45,7.2549
46,8.4871
47,2.3782
48,8.4412
49,2.4272
50,3.5905
