timestamp,vibration,pressure
2025-01-01 12:00:00,5,45
2025-01-01 12:01:00,7,93
2025-01-01 12:02:00,6,76
2025-01-01 12:03:00,8,79
2025-01-01 12:04:00,1,136
2025-01-01 12:05:00,7,143
2025-01-01 12:06:00,3,102
2025-01-01 12:07:00,6,69
2025-01-01 12:08:00,3,27
2025-01-01 12:09:00,3,141
2025-01-01 12:10:00,8,103
2025-01-01 12:11:00,1,40
2025-01-01 12:12:00,4,41
2025-01-01 12:13:00,5,105
2025-01-01 12:14:00,6,27
2025-01-01 12:15:00,6,69
2025-01-01 12:16:00,6,82
2025-01-01 12:17:00,8,101
2025-01-01 12:18:00,4,142
2025-01-01 12:19:00,4,35
2025-01-01 12:20:00,7,138
2025-01-01 12:21:00,3,73
2025-01-01 12:22:00,5,67
2025-01-01 12:23:00,5,148
2025-01-01 12:24:00,1,121
2025-01-01 12:25:00,6,132
2025-01-01 12:26:00,8,38
2025-01-01 12:27:00,7,34
2025-01-01 12:28:00,7,114
2025-01-01 12:29:00,7,123
2025-01-01 12:30:00,3,115
2025-01-01 12:31:00,3,96
2025-01-01 12:32:00,2,146
2025-01-01 12:33:00,1,148
2025-01-01 12:34:00,4,24
2025-01-01 12:35:00,5,54
2025-01-01 12:36:00,4,38
2025-01-01 12:37:00,7,101
2025-01-01 12:38:00,8,53
2025-01-01 12:39:00,1,147
2025-01-01 12:40:00,8,68
2025-01-01 12:41:00,5,74
2025-01-01 12:42:00,7,21
2025-01-01 12:43:00,6,117
2025-01-01 12:44:00,3,130
2025-01-01 12:45:00,2,51
2025-01-01 12:46:00,1,32
2025-01-01 12:47:00,7,87
2025-01-01 12:48:00,1,26
2025-01-01 12:49:00,6,58
2025-01-01 12:50:00,5,139
2025-01-01 12:51:00,2,98
2025-01-01 12:52:00,8,65
2025-01-01 12:53:00,4,138
2025-01-01 12:54:00,1,128
2025-01-01 12:55:00,1,112
2025-01-01 12:56:00,7,100
2025-01-01 12:57:00,4,81
2025-01-01 12:58:00,3,76
2025-01-01 12:59:00,5,95
