timestamp,vibration,pressure
2025-01-01 10:00:00,3,119
2025-01-01 10:01:01,18,111
2025-01-01 10:02:02,8,88
2025-01-01 10:03:03,3,84
2025-01-01 10:04:04,12,119
2025-01-01 10:05:05,13,63
2025-01-01 10:06:06,9,144
2025-01-01 10:07:07,6,52
2025-01-01 10:08:08,15,139
2025-01-01 10:09:09,1,71
2025-01-01 10:10:10,7,94
2025-01-01 10:11:11,19,129
2025-01-01 10:12:12,13,158
2025-01-01 10:13:13,5,160
2025-01-01 10:14:14,5,160
2025-01-01 10:15:15,8,16
2025-01-01 10:16:16,16,111
2025-01-01 10:17:17,8,53
2025-01-01 10:18:18,12,161
2025-01-01 10:19:19,12,100
2025-01-01 10:20:20,12,47
2025-01-01 10:21:21,2,15
2025-01-01 10:22:22,17,73
2025-01-01 10:23:23,10,178
2025-01-01 10:24:24,7,65
2025-01-01 10:25:25,7,14
2025-01-01 10:26:26,7,33
2025-01-01 10:27:27,7,102
2025-01-01 10:28:28,13,96
2025-01-01 10:29:29,1,138
2025-01-01 10:30:30,19,180
2025-01-01 10:31:31,6,17
2025-01-01 10:32:32,11,154
2025-01-01 10:33:33,5,162
2025-01-01 10:34:34,9,30
2025-01-01 10:35:35,19,137
2025-01-01 10:36:36,5,125
2025-01-01 10:37:37,8,125
2025-01-01 10:38:38,16,119
2025-01-01 10:39:39,16,127
2025-01-01 10:40:40,12,16
2025-01-01 10:41:41,13,101
2025-01-01 10:42:42,11,103
2025-01-01 10:43:43,12,159
2025-01-01 10:44:44,16,86
2025-01-01 10:45:45,1,105
2025-01-01 10:46:46,1,115
2025-01-01 10:47:47,10,175
2025-01-01 10:48:48,17,127
2025-01-01 10:49:49,5,165
2025-01-01 10:50:50,3,87
2025-01-01 10:51:51,3,111
2025-01-01 10:52:52,7,196
2025-01-01 10:53:53,16,24
2025-01-01 10:54:54,7,154
2025-01-01 10:55:55,14,50
2025-01-01 10:56:56,5,105
2025-01-01 10:57:57,2,21
2025-01-01 10:58:58,11,58
2025-01-01 10:59:59,15,157
2025-01-01 10:00:00,4,129
2025-01-01 10:01:01,19,34
2025-01-01 10:02:02,9,59
2025-01-01 10:03:03,16,160
2025-01-01 10:04:04,12,129
2025-01-01 10:05:05,7,22
2025-01-01 10:06:06,8,11
2025-01-01 10:07:07,6,18
2025-01-01 10:08:08,16,173
2025-01-01 10:09:09,5,146
2025-01-01 10:10:10,9,88
2025-01-01 10:11:11,10,177
2025-01-01 10:12:12,13,71
2025-01-01 10:13:13,5,16
2025-01-01 10:14:14,5,74
2025-01-01 10:15:15,18,189
2025-01-01 10:16:16,4,11
2025-01-01 10:17:17,11,121
2025-01-01 10:18:18,7,77
2025-01-01 10:19:19,3,35
2025-01-01 10:20:20,3,102
2025-01-01 10:21:21,1,74
2025-01-01 10:22:22,9,185
2025-01-01 10:23:23,19,90
2025-01-01 10:24:24,16,177
2025-01-01 10:25:25,3,111
2025-01-01 10:26:26,13,167
2025-01-01 10:27:27,1,38
2025-01-01 10:28:28,12,20
2025-01-01 10:29:29,16,48
2025-01-01 10:30:30,18,19
2025-01-01 10:31:31,19,79
2025-01-01 10:32:32,8,30
2025-01-01 10:33:33,18,114
2025-01-01 10:34:34,7,16
2025-01-01 10:35:35,15,129
2025-01-01 10:36:36,5,125
2025-01-01 10:37:37,15,98
2025-01-01 10:38:38,9,47
2025-01-01 10:39:39,6,167
2025-01-01 10:40:40,4,159
2025-01-01 10:41:41,15,109
2025-01-01 10:42:42,5,130
2025-01-01 10:43:43,6,141
2025-01-01 10:44:44,12,182
2025-01-01 10:45:45,10,183
2025-01-01 10:46:46,18,163
2025-01-01 10:47:47,5,27
2025-01-01 10:48:48,9,69
2025-01-01 10:49:49,5,29
2025-01-01 10:50:50,5,111
2025-01-01 10:51:51,9,45
2025-01-01 10:52:52,6,189
2025-01-01 10:53:53,6,173
2025-01-01 10:54:54,16,72
2025-01-01 10:55:55,10,36
2025-01-01 10:56:56,2,62
2025-01-01 10:57:57,2,53
2025-01-01 10:58:58,8,87
2025-01-01 10:59:59,12,104
2025-01-01 10:00:00,13,128
2025-01-01 10:01:01,13,113
2025-01-01 10:02:02,2,52
2025-01-01 10:03:03,14,37
2025-01-01 10:04:04,19,180
2025-01-01 10:05:05,10,27
2025-01-01 10:06:06,10,119
2025-01-01 10:07:07,6,16
2025-01-01 10:08:08,16,142
2025-01-01 10:09:09,15,62
2025-01-01 10:10:10,8,191
2025-01-01 10:11:11,10,120
2025-01-01 10:12:12,6,27
2025-01-01 10:13:13,6,80
2025-01-01 10:14:14,9,108
2025-01-01 10:15:15,10,139
2025-01-01 10:16:16,8,88
2025-01-01 10:17:17,4,156
2025-01-01 10:18:18,12,48
2025-01-01 10:19:19,4,189
2025-01-01 10:20:20,15,73
2025-01-01 10:21:21,11,129
2025-01-01 10:22:22,2,132
2025-01-01 10:23:23,18,92
2025-01-01 10:24:24,11,12
2025-01-01 10:25:25,6,69
2025-01-01 10:26:26,3,31
2025-01-01 10:27:27,16,107
2025-01-01 10:28:28,17,54
2025-01-01 10:29:29,9,106
2025-01-01 10:30:30,2,96
2025-01-01 10:31:31,3,101
2025-01-01 10:32:32,14,124
2025-01-01 10:33:33,17,134
2025-01-01 10:34:34,18,172
2025-01-01 10:35:35,18,183
2025-01-01 10:36:36,9,114
2025-01-01 10:37:37,18,12
2025-01-01 10:38:38,14,126
2025-01-01 10:39:39,19,154
2025-01-01 10:40:40,16,166
2025-01-01 10:41:41,10,59
2025-01-01 10:42:42,6,155
2025-01-01 10:43:43,5,85
2025-01-01 10:44:44,4,134
2025-01-01 10:45:45,14,65
2025-01-01 10:46:46,7,183
2025-01-01 10:47:47,9,189
2025-01-01 10:48:48,18,159
2025-01-01 10:49:49,3,148
2025-01-01 10:50:50,16,99
2025-01-01 10:51:51,18,160
2025-01-01 10:52:52,18,152
2025-01-01 10:53:53,13,190
2025-01-01 10:54:54,2,74
2025-01-01 10:55:55,6,68
2025-01-01 10:56:56,4,116
2025-01-01 10:57:57,9,137
2025-01-01 10:58:58,3,111
2025-01-01 10:59:59,10,57
2025-01-01 10:00:00,19,67
2025-01-01 10:01:01,11,151
2025-01-01 10:02:02,18,99
2025-01-01 10:03:03,6,188
2025-01-01 10:04:04,19,169
2025-01-01 10:05:05,17,137
2025-01-01 10:06:06,18,173
2025-01-01 10:07:07,1,83
2025-01-01 10:08:08,12,95
2025-01-01 10:09:09,1,92
2025-01-01 10:10:10,16,159
2025-01-01 10:11:11,4,86
2025-01-01 10:12:12,17,140
2025-01-01 10:13:13,16,104
2025-01-01 10:14:14,7,199
2025-01-01 10:15:15,6,42
2025-01-01 10:16:16,10,154
2025-01-01 10:17:17,1,29
2025-01-01 10:18:18,3,39
2025-01-01 10:19:19,12,147
2025-01-01 10:20:20,13,143
2025-01-01 10:21:21,3,139
2025-01-01 10:22:22,15,87
2025-01-01 10:23:23,18,161
2025-01-01 10:24:24,8,149
2025-01-01 10:25:25,11,107
2025-01-01 10:26:26,18,149
2025-01-01 10:27:27,14,156
2025-01-01 10:28:28,16,161
2025-01-01 10:29:29,3,62
2025-01-01 10:30:30,6,21
2025-01-01 10:31:31,13,64
2025-01-01 10:32:32,4,44
